2.318700;3.318700;'<laughter>'
3.318700;3.609000;'Hallo'
4.600100;5.600100;'<breathing>'
5.601576;6.839360;'<filler>'
6.839360;7.317870;'über das'
7.317870;7.712361;'<filler>'
7.712361;9.274900;'... das letztgesehene Video.'
10.883100;12.012339;'<moaning>'
12.012339;12.744100;'Ja, und wie fandest du das?'
12.744100;13.744100;'<laughter>'
26.291400;29.732100;'Ja, vor allem, ich fand auch so ein bisschen übertrieben, ständig.'
30.629700;37.498571;'Irgendwie, naja ... aber die Idee ja fand ich super. Von der Musik her, hat Spaß gemacht, anzuschauen'
37.498571;41.021230;'aber beim zehnten Mal dacht ich mir, ich hab jetzt langsam gecheckt, wie es funktioniert.'
41.021230;41.757776;'<laughter>'
44.957700;45.715889;'<laughter>'
45.715889;46.064027;'<breathing>'
46.064027;49.672600;'Eben, das wäre eine viel bessere Werbung, wenn man das so kurz und knackig machen würde.'
52.968500;54.466392;'Und vor allem als dieser eine Typ dann'
54.466392;55.103077;'<filler>'
55.103077;58.824000;'ich weiß nicht, dieses schwarze Zeug an den Händen hatte, oder so was.'
60.278900;63.884944;'... erstmal gefragt, was kommt jetzt, irgendwas, aber, es war dann nichts'
63.884944;64.419000;'<laughter>'
70.310400;70.737936;'<slightlaughter>'
70.737936;75.709100;'Und ich dachte noch so Inception-mäßig, weil die hatten auch so einen Burger-King-Burger dann oder so einen Burger'
74.896611;79.921259;'ich fand das der sah end aus wie aus so einer Werbung von Burger King oder Mc Donald oder so was.'
82.461400;85.234289;'Nee, ich dachte erst, da kommt jetzt vielleicht eine Mc Donald Werbung, aber'
85.234289;89.192402;'<laughter>'
90.400300;92.879000;'Ja, aber würdest Du Dir jetzt den Wasserhahn kaufen oder nicht?'
98.797400;99.126500;'Wahrscheinlich'
99.126500;100.126500;'<laughter>'
105.811300;106.745300;'... ja'
108.864800;113.712628;'... was ich nicht verstanden habe, der Wasserhahn, hatte ja so einen Hebel an der Seite, dass du auch normal Wasser aufmachen kannst'
113.712628;116.887050;'da kannst du ja eigentlich auch mit dem Handballen aufmachen.'
118.644800;124.051300;'Wenn du Hände drehst, dann kannst Du ja auch an dem Ding auch mit dem Handballen einfach aufmachen, das macht ja keinen Unterschied.'
125.066100;125.728103;'Ja'
125.728103;126.428300;'<laughter>'
126.428300;128.963700;'so irgendwie, hat es mich nicht überzeugt.'
132.933200;134.281014;'Eigentlich hat der überhaupt nicht gepasst'
134.281014;135.196400;'<laughter>'
141.626600;142.385422;'<laughter>'
142.843334;146.224800;'also Fazit, war nicht so geil.'
148.146600;149.310552;'<slightlaughter>'
149.310552;150.894800;'Nach der Werbung, meinst Du, es liegt am Burger?'
153.957200;154.900200;'Dann können wir jetzt was essen.'
155.340200;156.340200;'<laughter>'
156.340200;157.136400;'Dann können wir jetzt was essen.'
157.944700;158.761900;'Ja'
159.148100;160.818500;'Dann muss ich jetzt da oben auflegen, oder?'
162.605700;163.620500;'Glaube schon, oder?'
