4.488500;6.459800;'Hallo ... ja'
8.013882;11.979500;'Und, wie hat Dir alles gefallen, wir sollen ja nur über das letzte reden, glaub ich, nicht?'
12.950000;13.586800;'...'
15.695549;18.560112;'Welches war das letzte, ich habe es schon wieder vergessen, war das das Grohe?'
22.654800;23.261400;'Ja'
23.837600;25.172000;'Ja, wie fandest Du das denn?'
31.193650;33.117900;'So so ne Art Spüle?'
37.537059;41.501689;'Ja, ich wusste das auch nicht, also ich finde, das hat das ganz gut rübergebracht'
41.501689;47.249620;'dass man es nicht anfassen musste, aber durch diese endlose Wiederholung immer mit diesem ekligen Geschmiere vorher'
48.130100;51.167239;'Hat man irgendwie negative, also ich fand das sehr negativ'
51.167239;56.194328;'dass man immer so was Hässliches gesehen hat, das die Leute angefasst haben, nur damit man endlich begreift'
57.125154;59.322155;'dass man die Spüle nicht anfassen muss.'
74.242300;74.697300;'Mhm'
79.518264;84.225675;'Ja genau, so ging es mir, ich habe es natürlich nicht so schnell kapiert wie Du, weil ich ja so langsam bin'
84.698924;89.180680;'aber genau, also ja, ... wenn sie es schon so lang machen, so oft wiederholen'
89.180680;91.001589;'hätten sie es ein bisschen witziger machen müssen.'
92.317700;95.658855;'Und dann wär es natürlich toll gewesen, wenn sie ein bisschen Sprache gehabt hätten'
95.658855;99.288137;'da hätte man das ja alles viel besser und schneller und deutlicher rüberbringen können.'
102.284332;107.160984;'Nicht? Ja. Mhm. Na und wenn sie dann gesagt haben, "You don't have to touch'
107.160984;109.166805;'just knock it" oder so was.'
116.670900;117.307800;'Berührung'
121.371700;124.627297;'Ja, fand ich auch, dafür dass der Rest so langweilig war.'
124.627297;125.576928;'<laughter>'
132.987200;135.504400;'Ach haben die in Krankenhäusern ja auch.'
148.060100;152.238676;'Also ... hätte ich noch länger gebraucht, bis ich es kapiert hätte, das fand ich jetzt gut'
152.238676;154.131670;'dass er geleuchtet hat.'
152.539549;154.106597;'<slightlaughter>'
154.661332;156.845796;'<laughter>'
156.845796;159.020858;'Also für so langsame Geister wie mich'
159.020858;159.763639;'<laughter>'
159.763639;161.358893;'war das schon hilfreich.'
161.358893;162.112600;'<laughter>'
166.864400;167.762700;'Ja ja'
