5.130300;6.113800;'Was?'
7.735300;8.984600;'Ja, ich höre Dich.'
13.032418;13.935046;'Keine Ahnung.'
13.935046;14.433800;'<slightlaughter>'
16.719800;17.703400;'Genau.'
21.079200;22.022126;'Zu lang?'
24.827200;27.151979;'Ja, find ich auch, und ich find,'
27.151979;27.760380;'<filler>'
27.760380;29.003779;'ich ich hab erst nicht richtig'
29.003779;29.236501;'<filler>'
29.236501;32.509300;'verstanden, worum es überhaupt geht, weil das immer geleuchtet hat.'
34.582700;35.752300;'Achso.'
40.988900;41.919200;'Ja.'
44.550800;45.188800;'Mhm.'
