n_train_data.name	class	sid	corpus_id	gender	acted	arousal	valence	featfile	image
/home/jkim/Corpus/recola_wav/P16_0.wav	5	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_0.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_0/
/home/jkim/Corpus/recola_wav/P16_1.wav	5	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_1.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_1/
/home/jkim/Corpus/recola_wav/P16_2.wav	5	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_2.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_2/
/home/jkim/Corpus/recola_wav/P16_3.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_3.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_3/
/home/jkim/Corpus/recola_wav/P16_4.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_4.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_4/
/home/jkim/Corpus/recola_wav/P16_5.wav	8	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_5.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_5/
/home/jkim/Corpus/recola_wav/P16_6.wav	8	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_6.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_6/
/home/jkim/Corpus/recola_wav/P16_7.wav	5	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_7.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_7/
/home/jkim/Corpus/recola_wav/P16_8.wav	5	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_8.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_8/
/home/jkim/Corpus/recola_wav/P16_9.wav	0	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_9.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_9/
/home/jkim/Corpus/recola_wav/P16_10.wav	4	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_10.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_10/
/home/jkim/Corpus/recola_wav/P16_11.wav	1	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_11.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_11/
/home/jkim/Corpus/recola_wav/P16_12.wav	1	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_12.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_12/
/home/jkim/Corpus/recola_wav/P16_13.wav	6	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_13.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_13/
/home/jkim/Corpus/recola_wav/P16_14.wav	2	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_14.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_14/
/home/jkim/Corpus/recola_wav/P16_15.wav	5	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_15.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_15/
/home/jkim/Corpus/recola_wav/P16_16.wav	5	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_16.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_16/
/home/jkim/Corpus/recola_wav/P16_17.wav	5	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_17.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_17/
/home/jkim/Corpus/recola_wav/P16_18.wav	0	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_18.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_18/
/home/jkim/Corpus/recola_wav/P16_19.wav	1	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_19.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_19/
/home/jkim/Corpus/recola_wav/P16_20.wav	8	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_20.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_20/
/home/jkim/Corpus/recola_wav/P16_21.wav	8	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_21.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_21/
/home/jkim/Corpus/recola_wav/P16_22.wav	8	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_22.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_22/
/home/jkim/Corpus/recola_wav/P16_23.wav	8	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_23.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_23/
/home/jkim/Corpus/recola_wav/P16_24.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_24.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_24/
/home/jkim/Corpus/recola_wav/P16_25.wav	0	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_25.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_25/
/home/jkim/Corpus/recola_wav/P16_26.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_26.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_26/
/home/jkim/Corpus/recola_wav/P16_27.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_27.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_27/
/home/jkim/Corpus/recola_wav/P16_28.wav	3	16	7	0	0	1	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_28.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_28/
/home/jkim/Corpus/recola_wav/P16_29.wav	10	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_29.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_29/
/home/jkim/Corpus/recola_wav/P16_30.wav	6	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_30.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_30/
/home/jkim/Corpus/recola_wav/P16_31.wav	10	16	7	0	0	0	0	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_31.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_31/
/home/jkim/Corpus/recola_wav/P16_32.wav	4	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_32.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_32/
/home/jkim/Corpus/recola_wav/P16_33.wav	4	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_33.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_33/
/home/jkim/Corpus/recola_wav/P16_34.wav	4	16	7	0	0	1	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_34.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_34/
