n_train_data.name	class	sid	corpus_id	gender	acted	arousal	valence	feat	image
/home/jkim/Corpus/recola_wav/P16_0.wav	5	16	7	0	0	0.104353968	-0.623223296	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_0.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_0
/home/jkim/Corpus/recola_wav/P16_1.wav	5	16	7	0	0	0.153251362	-0.525429972	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_1.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_1
/home/jkim/Corpus/recola_wav/P16_2.wav	5	16	7	0	0	-0.134936375	-0.579225495	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_2.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_2
/home/jkim/Corpus/recola_wav/P16_3.wav	3	16	7	0	0	0.409717275	-0.892668476	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_3.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_3
/home/jkim/Corpus/recola_wav/P16_4.wav	3	16	7	0	0	0.48906193	-0.704851699	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_4.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_4
/home/jkim/Corpus/recola_wav/P16_5.wav	8	16	7	0	0	0.739317294	-0.008664341	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_5.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_5
/home/jkim/Corpus/recola_wav/P16_6.wav	8	16	7	0	0	0.918655654	0.098805415	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_6.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_6
/home/jkim/Corpus/recola_wav/P16_7.wav	5	16	7	0	0	-0.127751659	-0.744602316	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_7.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_7
/home/jkim/Corpus/recola_wav/P16_8.wav	5	16	7	0	0	0.188346861	-0.377751203	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_8.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_8
/home/jkim/Corpus/recola_wav/P16_9.wav	0	16	7	0	0	0.341763078	0.040454022	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_9.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_9
/home/jkim/Corpus/recola_wav/P16_10.wav	4	16	7	0	0	0.500350137	0.542616062	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_10.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_10
/home/jkim/Corpus/recola_wav/P16_11.wav	1	16	7	0	0	0.601780415	0.946530789	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_11.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_11
/home/jkim/Corpus/recola_wav/P16_12.wav	1	16	7	0	0	0.529480998	0.952129405	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_12.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_12
/home/jkim/Corpus/recola_wav/P16_13.wav	6	16	7	0	0	0.129089986	0.575130293	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_13.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_13
/home/jkim/Corpus/recola_wav/P16_14.wav	2	16	7	0	0	-0.173874919	-0.835792613	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_14.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_14
/home/jkim/Corpus/recola_wav/P16_15.wav	5	16	7	0	0	-0.108776859	-0.925980722	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_15.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_15
/home/jkim/Corpus/recola_wav/P16_16.wav	5	16	7	0	0	-0.143440501	-0.940289574	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_16.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_16
/home/jkim/Corpus/recola_wav/P16_17.wav	5	16	7	0	0	0.164648635	-1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_17.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_17
/home/jkim/Corpus/recola_wav/P16_18.wav	0	16	7	0	0	0.588692638	-0.091299041	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_18.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_18
/home/jkim/Corpus/recola_wav/P16_19.wav	1	16	7	0	0	0.680945511	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_19.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_19
/home/jkim/Corpus/recola_wav/P16_20.wav	8	16	7	0	0	0.932540444	0.627651948	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_20.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_20
/home/jkim/Corpus/recola_wav/P16_21.wav	8	16	7	0	0	0.826235808	-0.007437913	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_21.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_21
/home/jkim/Corpus/recola_wav/P16_22.wav	8	16	7	0	0	0.856787589	0.015670781	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_22.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_22
/home/jkim/Corpus/recola_wav/P16_23.wav	8	16	7	0	0	0.858544872	0.105522802	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_23.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_23
/home/jkim/Corpus/recola_wav/P16_24.wav	3	16	7	0	0	1	-0.105917394	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_24.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_24
/home/jkim/Corpus/recola_wav/P16_25.wav	0	16	7	0	0	0.301042706	-0.197289261	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_25.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_25
/home/jkim/Corpus/recola_wav/P16_26.wav	3	16	7	0	0	0.631274	-0.143722154	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_26.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_26
/home/jkim/Corpus/recola_wav/P16_27.wav	3	16	7	0	0	0.728273789	-0.169533702	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_27.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_27
/home/jkim/Corpus/recola_wav/P16_28.wav	3	16	7	0	0	0.734948557	-0.234372021	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_28.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_28
/home/jkim/Corpus/recola_wav/P16_29.wav	10	16	7	0	0	-0.507360642	-0.480407741	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_29.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_29
/home/jkim/Corpus/recola_wav/P16_30.wav	6	16	7	0	0	0.193605342	0.297610993	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_30.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_30
/home/jkim/Corpus/recola_wav/P16_31.wav	10	16	7	0	0	-0.441077523	-0.068086828	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_31.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_31
/home/jkim/Corpus/recola_wav/P16_32.wav	4	16	7	0	0	0.28621955	0.259447073	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_32.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_32
/home/jkim/Corpus/recola_wav/P16_33.wav	4	16	7	0	0	0.374321848	0.230921361	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_33.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_33
