2.318700;3.318700
3.318700;3.609000
4.600100;5.600100
5.601576;6.839360
6.839360;7.317870
7.317870;7.712361
7.712361;9.274900
10.883100;12.012339
12.012339;12.744100
12.744100;13.744100
26.291400;29.732100
30.629700;37.498571
37.498571;41.021230
41.021230;41.757776
44.957700;45.715889
45.715889;46.064027
46.064027;49.672600
52.968500;54.466392
54.466392;55.103077
55.103077;58.824000
60.278900;63.884944
63.884944;64.419000
70.310400;70.737936
70.737936;75.709100
74.896611;79.921259
82.461400;85.234289
85.234289;89.192402
90.400300;92.879000
98.797400;99.126500
99.126500;100.126500
105.811300;106.745300
108.864800;113.712628
113.712628;116.887050
118.644800;124.051300
125.066100;125.728103
125.728103;126.428300
126.428300;128.963700
132.933200;134.281014
134.281014;135.196400
141.626600;142.385422
142.843334;146.224800
148.146600;149.310552
149.310552;150.894800
153.957200;154.900200
155.340200;156.340200
156.340200;157.136400
157.944700;158.761900
159.148100;160.818500
162.605700;163.620500
